0	0.01	-254.6479	254.647908947
0.13	0.01	1273.2395	254.647908947
0.24	0.01	2291.8312	254.647908947
0.37	0.01	3819.7186	254.647908947
0.5	0.01	5092.9582	254.647908947
0.62	0.01	6366.1977	254.647908947
0.73	0.01	7639.4373	254.647908947
0.85	0.01	8912.6768	254.647908947
0.96	0.01	9931.2684	254.647908947
1.06	0.01	10949.8601	254.647908947
1.13	0.01	11713.8038	254.647908947
1.23	0.01	12732.3954	254.647908947
1.28	0.01	13496.3392	254.647908947
-0.11	0.01	-1527.8875	254.647908947
-0.22	0.01	-2546.4791	254.647908947
-0.34	0.01	-3819.7186	254.647908947
-0.47	0.01	-5092.9582	254.647908947
-0.59	0.01	-6366.1977	254.647908947
-0.69	0.01	-7384.7894	254.647908947
-0.81	0.01	-8658.0289	254.647908947
-0.91	0.01	-9676.6205	254.647908947
-1.02	0.01	-10695.2122	254.647908947
-1.1	0.01	-11459.1559	254.647908947
-1.18	0.01	-12223.0996	254.647908947
-1.27	0.01	-12987.0434	254.647908947

