0.0108800	-101.76504
-0.0016000	-1250.28158
-0.0150400	-2398.79812
-0.0256000	-3547.31466
-0.0316800	-4591.42060
-0.0371200	-5739.93714
-0.0416000	-6992.86428
-0.0457600	-8141.38082
-0.0480000	-9289.89736
-0.0508800	-10542.82450
-0.0528000	-11482.51985
-0.0531200	-12631.03639
-0.0540800	-13257.49996
-0.0512000	-11586.93044
-0.0486400	-10334.00331
-0.0451200	-9289.89736
-0.0425600	-7828.14904
-0.0374400	-6366.40071
-0.0329600	-4904.65239
-0.0284800	-3547.31466
-0.0230400	-2085.56633
-0.0105600	-101.76504
-0.0054400	-101.76504
0.0019200	942.34091
0.0121600	1986.44686
0.0198400	3239.37399
0.0240000	4387.89053
0.0275200	5536.40707
0.0307200	6998.15540
0.0332800	8251.08253
0.0352000	9608.42026
0.0358400	10443.70502
0.0374400	11592.22156
0.0387200	12949.55929
0.0361600	12009.86394
0.0329600	10026.06264
0.0284800	8668.72491
0.0243200	7415.79778
0.0220800	6162.87064
0.0192000	4909.94351
0.0160000	3865.83756
0.0131200	2717.32102
0.0086400	1151.16210
0.0041600	-101.76504

